"","model","nugget","range","psill","estimType","R2","RMSE"
"1","Exp",5000,10000,47281.203613428,"OLS",0.658796566101618,126.892414238944
"2",,,,,,,
"3","Sph",5000,10000,47281.203613428,"OLS",0.503041144981311,155.189153653141
"4",,,,,,,
"5","Gau",5000,10000,47281.203613428,"OLS",0.64568152285859,129.273355139445
"6","Gau",5000,10000,47281.203613428,"REML",0.494971532996357,154.514540554721
"7","Mat",5000,10000,47281.203613428,"OLS",0.661131287899548,126.430089862787
"8",,,,,,,
"9","Exp",5000,30000,47281.203613428,"OLS",0.666758354048541,125.403706570837
"10","Exp",5000,30000,47281.203613428,"REML",0.682428563770494,122.47152513248
"11","Sph",5000,30000,47281.203613428,"OLS",0.662659654755336,126.153435945728
"12","Sph",5000,30000,47281.203613428,"REML",0.636746023429741,132.38063841465
"13","Gau",5000,30000,47281.203613428,"OLS",0.638019100259386,130.650580276844
"14","Gau",5000,30000,47281.203613428,"REML",0.656491751024843,127.27766830182
"15","Mat",5000,30000,47281.203613428,"OLS",0.675392444300095,123.803907219187
"16","Mat",5000,30000,47281.203613428,"REML",0.686841443629079,121.650116752473
"17","Exp",5000,50000,47281.203613428,"OLS",0.656843691313501,127.211471212558
"18","Exp",5000,50000,47281.203613428,"REML",0.680629855149122,122.771148787355
"19","Sph",5000,50000,47281.203613428,"OLS",0.665496772813595,125.70109342538
"20","Sph",5000,50000,47281.203613428,"REML",0.66270569513502,126.278485395241
"21","Gau",5000,50000,47281.203613428,"OLS",0.62913014378027,132.237597286528
"22","Gau",5000,50000,47281.203613428,"REML",0.66442170316163,125.796365827157
"23","Mat",5000,50000,47281.203613428,"OLS",0.659481642525106,126.741249561835
"24","Mat",5000,50000,47281.203613428,"REML",0.678196640352641,123.204009277965
"25","Exp",5000,80000,47281.203613428,"OLS",0.666219193075401,125.499516206167
"26","Exp",5000,80000,47281.203613428,"REML",0.669537197990137,124.831523481438
"27","Sph",5000,80000,47281.203613428,"OLS",0.667870204849626,125.238643453011
"28","Sph",5000,80000,47281.203613428,"REML",0.673363772021084,124.115179895037
"29","Gau",5000,80000,47281.203613428,"OLS",0.636080373123381,130.9958868551
"30","Gau",5000,80000,47281.203613428,"REML",0.635765431501384,131.049538968944
"31","Mat",5000,80000,47281.203613428,"OLS",0.666346990523119,125.431939963859
"32","Mat",5000,80000,47281.203613428,"REML",0.668994069659452,124.95697678724
"33","Exp",10000,10000,47281.203613428,"OLS",0.662905912274747,126.08654840698
"34","Exp",10000,10000,47281.203613428,"REML",0.643100709120527,131.402054323419
"35","Sph",10000,10000,47281.203613428,"OLS",0.513280740114366,154.68105703682
"36",,,,,,,
"37","Gau",10000,10000,47281.203613428,"OLS",0.639364772538037,130.422758987333
"38","Gau",10000,10000,47281.203613428,"REML",0.495945571783521,154.396926237167
"39","Mat",10000,10000,47281.203613428,"OLS",0.664739787620914,125.804266193903
"40","Mat",10000,10000,47281.203613428,"REML",0.653029934586527,129.532837618806
"41","Exp",10000,30000,47281.203613428,"OLS",0.673759867908621,124.120326971474
"42","Exp",10000,30000,47281.203613428,"REML",0.683029256543895,122.443601527062
"43","Sph",10000,30000,47281.203613428,"OLS",0.672370316097252,124.359170599563
"44","Sph",10000,30000,47281.203613428,"REML",0.615324956522412,135.901926572281
"45","Gau",10000,30000,47281.203613428,"OLS",0.651343522982149,128.283887663845
"46","Gau",10000,30000,47281.203613428,"REML",0.672455747397984,124.427468673029
"47","Mat",10000,30000,47281.203613428,"OLS",0.666492250383373,125.433997378963
"48","Mat",10000,30000,47281.203613428,"REML",0.678937830668198,123.274688184447
"49","Exp",10000,50000,47281.203613428,"OLS",0.663181607964514,126.046865115893
"50","Exp",10000,50000,47281.203613428,"REML",0.678846390814423,123.092373883734
"51","Sph",10000,50000,47281.203613428,"OLS",0.664939466203603,125.748631798615
"52","Sph",10000,50000,47281.203613428,"REML",0.67271004094039,124.545425669376
"53","Gau",10000,50000,47281.203613428,"OLS",0.639283996460856,130.453796848382
"54","Gau",10000,50000,47281.203613428,"REML",0.671501012642166,124.464407322185
"55","Mat",10000,50000,47281.203613428,"OLS",0.674141851681704,124.014911988787
"56","Mat",10000,50000,47281.203613428,"REML",0.668372255193176,125.055566648074
"57","Exp",10000,80000,47281.203613428,"OLS",0.654785506821114,127.620484426012
"58","Exp",10000,80000,47281.203613428,"REML",0.652052185802422,128.107821879321
"59","Sph",10000,80000,47281.203613428,"OLS",0.666803008205232,125.423988111629
"60","Sph",10000,80000,47281.203613428,"REML",0.65816204200644,126.972260852259
"61","Gau",10000,80000,47281.203613428,"OLS",0.645226145296432,129.350665348361
"62","Gau",10000,80000,47281.203613428,"REML",0.630214986717322,132.053889424776
"63","Mat",10000,80000,47281.203613428,"OLS",0.6673136353712,125.31492428815
"64","Mat",10000,80000,47281.203613428,"REML",0.675967038736295,123.622042708392
"65","Exp",15000,10000,47281.203613428,"OLS",0.664569586740456,125.807802978157
"66",,,,,,,
"67","Sph",15000,10000,47281.203613428,"OLS",0.488630113876205,157.421325253592
"68",,,,,,,
"69","Gau",15000,10000,47281.203613428,"OLS",0.641022170033006,130.104194353484
"70","Gau",15000,10000,47281.203613428,"REML",0.539244451386345,153.017779928912
"71","Mat",15000,10000,47281.203613428,"OLS",0.662911477747167,126.111980672805
"72",,,,,,,
"73","Exp",15000,30000,47281.203613428,"OLS",0.652912254956185,127.987417006838
"74","Exp",15000,30000,47281.203613428,"REML",0.676170593449164,123.719403600961
"75","Sph",15000,30000,47281.203613428,"OLS",0.657152961712728,127.203540976354
"76","Sph",15000,30000,47281.203613428,"REML",0.612414365453022,135.983418870868
"77","Gau",15000,30000,47281.203613428,"OLS",0.645600705771697,129.291925944713
"78","Gau",15000,30000,47281.203613428,"REML",0.663456291477924,125.987116637187
"79","Mat",15000,30000,47281.203613428,"OLS",0.662573159143119,126.213336676181
"80","Mat",15000,30000,47281.203613428,"REML",0.681773110584808,122.598775273781
"81","Exp",15000,50000,47281.203613428,"OLS",0.675441855629402,123.878712640592
"82","Exp",15000,50000,47281.203613428,"REML",0.669807887455646,124.807185233903
"83","Sph",15000,50000,47281.203613428,"OLS",0.661118614140939,126.461844838666
"84","Sph",15000,50000,47281.203613428,"REML",0.655147759103325,127.636282205571
"85","Gau",15000,50000,47281.203613428,"OLS",0.641230134231244,130.085503944546
"86","Gau",15000,50000,47281.203613428,"REML",0.661534867406089,126.329375871859
"87","Mat",15000,50000,47281.203613428,"OLS",0.664281148397114,125.855944475787
"88","Mat",15000,50000,47281.203613428,"REML",0.668771611242389,124.976571289308
"89","Exp",15000,80000,47281.203613428,"OLS",0.669826706349708,124.80958699414
"90","Exp",15000,80000,47281.203613428,"REML",0.668612647860034,125.043201401153
"91","Sph",15000,80000,47281.203613428,"OLS",0.66200741561435,126.281077245632
"92","Sph",15000,80000,47281.203613428,"REML",0.680266699197947,122.814959786232
"93","Gau",15000,80000,47281.203613428,"OLS",0.640061683131232,130.297368446943
"94","Gau",15000,80000,47281.203613428,"REML",0.624980340359495,133.000357801574
"95","Mat",15000,80000,47281.203613428,"OLS",0.663410134232911,126.031419633796
"96","Mat",15000,80000,47281.203613428,"REML",0.678921589087873,123.069887021548
"97","Exp",20000,10000,47281.203613428,"OLS",0.672593412612902,124.351390755695
"98",,,,,,,
"99","Sph",20000,10000,47281.203613428,"OLS",0.347423716569116,184.049895874954
"100",,,,,,,
"101","Gau",20000,10000,47281.203613428,"OLS",0.637356214390871,130.773117446241
"102","Gau",20000,10000,47281.203613428,"REML",0.559453128667353,150.943785453926
"103","Mat",20000,10000,47281.203613428,"OLS",0.663331292801375,126.036636407814
"104",,,,,,,
"105","Exp",20000,30000,47281.203613428,"OLS",0.664717748181599,125.811883422869
"106","Exp",20000,30000,47281.203613428,"REML",0.655113856166611,127.552739710473
"107","Sph",20000,30000,47281.203613428,"OLS",0.675005260191859,123.97630889517
"108","Sph",20000,30000,47281.203613428,"REML",0.618937586859781,135.059920167636
"109","Gau",20000,30000,47281.203613428,"OLS",0.639614395691036,130.355877703479
"110","Gau",20000,30000,47281.203613428,"REML",0.651556357940601,128.191081401753
"111","Mat",20000,30000,47281.203613428,"OLS",0.668582591420637,125.059972059413
"112","Mat",20000,30000,47281.203613428,"REML",0.670795064587227,124.603359385433
"113","Exp",20000,50000,47281.203613428,"OLS",0.658676867535074,126.874736492252
"114","Exp",20000,50000,47281.203613428,"REML",0.673585990811999,124.109210338566
"115","Sph",20000,50000,47281.203613428,"OLS",0.66457130493327,125.870326317245
"116","Sph",20000,50000,47281.203613428,"REML",0.646358735552639,129.211520385656
"117","Gau",20000,50000,47281.203613428,"OLS",0.639680745215139,130.367455736134
"118","Gau",20000,50000,47281.203613428,"REML",0.64485565014873,129.410041178866
"119","Mat",20000,50000,47281.203613428,"OLS",0.674164163617628,124.026001819069
"120","Mat",20000,50000,47281.203613428,"REML",0.683870718024619,122.15032321114
"121","Exp",20000,80000,47281.203613428,"OLS",0.664418254581211,125.877294678233
"122","Exp",20000,80000,47281.203613428,"REML",0.679754231980836,122.902900429809
"123","Sph",20000,80000,47281.203613428,"OLS",0.666120791852864,125.529799044833
"124","Sph",20000,80000,47281.203613428,"REML",0.677476690733309,123.364088365235
"125","Gau",20000,80000,47281.203613428,"OLS",0.633245344273963,131.501886702887
"126","Gau",20000,80000,47281.203613428,"REML",0.638590458686421,130.542230447769
"127","Mat",20000,80000,47281.203613428,"OLS",0.654161975447139,127.724863884123
"128","Mat",20000,80000,47281.203613428,"REML",0.682265645224703,122.433409241997
"129","Exp",30000,10000,47281.203613428,"OLS",0.661789155233939,126.291860221249
"130",,,,,,,
"131","Sph",30000,10000,47281.203613428,"OLS",0.317161556827144,194.060001832041
"132",,,,,,,
"133","Gau",30000,10000,47281.203613428,"OLS",0.641326523780588,130.064377225022
"134",,,,,,,
"135","Mat",30000,10000,47281.203613428,"OLS",0.669203394026774,125.028993457755
"136",,,,,,,
"137","Exp",30000,30000,47281.203613428,"OLS",0.670039261412537,124.80768004216
"138","Exp",30000,30000,47281.203613428,"REML",0.682969102223445,122.516951877726
"139","Sph",30000,30000,47281.203613428,"OLS",0.666415200829257,125.495663727031
"140","Sph",30000,30000,47281.203613428,"REML",0.584221154529361,140.621130612404
"141","Gau",30000,30000,47281.203613428,"OLS",0.641382687533499,130.055430756765
"142","Gau",30000,30000,47281.203613428,"REML",0.651408467391793,128.220508319443
"143","Mat",30000,30000,47281.203613428,"OLS",0.662882231703896,126.114833891641
"144","Mat",30000,30000,47281.203613428,"REML",0.678446026292518,123.224868258505
"145","Exp",30000,50000,47281.203613428,"OLS",0.668429084728046,125.082307105509
"146","Exp",30000,50000,47281.203613428,"REML",0.671910331108159,124.451419769301
"147","Sph",30000,50000,47281.203613428,"OLS",0.660166869778046,126.676276898321
"148","Sph",30000,50000,47281.203613428,"REML",0.662651752688686,126.396932600826
"149","Gau",30000,50000,47281.203613428,"OLS",0.639625328966453,130.37768185846
"150","Gau",30000,50000,47281.203613428,"REML",0.653624827681045,127.800731664012
"151","Mat",30000,50000,47281.203613428,"OLS",0.669206897492497,124.955251144201
"152","Mat",30000,50000,47281.203613428,"REML",0.66916990416859,124.919553513191
"153","Exp",30000,80000,47281.203613428,"OLS",0.656541981564185,127.278409382333
"154","Exp",30000,80000,47281.203613428,"REML",0.670199077364422,124.770029598738
"155","Sph",30000,80000,47281.203613428,"OLS",0.667444837118926,125.301818093953
"156","Sph",30000,80000,47281.203613428,"REML",0.674725360309085,123.907275463461
"157","Gau",30000,80000,47281.203613428,"OLS",0.633106885180566,131.530886281421
"158","Gau",30000,80000,47281.203613428,"REML",0.641933519369045,129.935194128872
"159","Mat",30000,80000,47281.203613428,"OLS",0.668932379711152,125.016403399206
"160","Mat",30000,80000,47281.203613428,"REML",0.663100713198986,126.039425850741
